match_id,Season,total_runs
1,IPL-2017,379
2,IPL-2017,371
3,IPL-2017,367
4,IPL-2017,327
5,IPL-2017,299
6,IPL-2017,275
7,IPL-2017,358
8,IPL-2017,298
9,IPL-2017,313
10,IPL-2017,317
11,IPL-2017,341
12,IPL-2017,287
13,IPL-2017,343
14,IPL-2017,327
15,IPL-2017,325
16,IPL-2017,353
17,IPL-2017,295
18,IPL-2017,337
19,IPL-2017,313
20,IPL-2017,405
21,IPL-2017,367
22,IPL-2017,397
23,IPL-2017,375
24,IPL-2017,270
25,IPL-2017,355
26,IPL-2017,350
27,IPL-2017,180
28,IPL-2017,317
29,IPL-2017,366
30,IPL-2017,269
31,IPL-2017,321
32,IPL-2017,388
33,IPL-2017,253
34,IPL-2017,323
35,IPL-2017,135
36,IPL-2017,370
37,IPL-2017,327
38,IPL-2017,328
39,IPL-2017,374
40,IPL-2017,313
41,IPL-2017,422
42,IPL-2017,257
43,IPL-2017,284
44,IPL-2017,278
45,IPL-2017,317
46,IPL-2017,381
47,IPL-2017,278
48,IPL-2017,320
49,IPL-2017,392
50,IPL-2017,453
51,IPL-2017,329
52,IPL-2017,312
53,IPL-2017,337
54,IPL-2017,151
55,IPL-2017,312
56,IPL-2017,304
57,IPL-2017,176
58,IPL-2017,218
59,IPL-2017,257
60,IPL-2008,304
61,IPL-2008,447
62,IPL-2008,261
63,IPL-2008,331
64,IPL-2008,222
65,IPL-2008,334
66,IPL-2008,285
67,IPL-2008,410
68,IPL-2008,431
69,IPL-2008,298
70,IPL-2008,273
71,IPL-2008,299
72,IPL-2008,309
73,IPL-2008,320
74,IPL-2008,343
75,IPL-2008,275
76,IPL-2008,372
77,IPL-2008,331
78,IPL-2008,347
79,IPL-2008,341
80,IPL-2008,336
81,IPL-2008,347
82,IPL-2008,295
83,IPL-2008,219
84,IPL-2008,253
85,IPL-2008,292
86,IPL-2008,207
87,IPL-2008,375
88,IPL-2008,253
89,IPL-2008,281
90,IPL-2008,248
91,IPL-2008,344
92,IPL-2008,385
93,IPL-2008,315
94,IPL-2008,287
95,IPL-2008,243
96,IPL-2008,314
97,IPL-2008,401
98,IPL-2008,376
99,IPL-2008,135
