batsman,Runs,Balls,Strike_Rate
V Kohli,5411,4100,131.97560975609755
SK Raina,5364,3898,137.60903027193433
RG Sharma,4870,3731,130.52800857678906
DA Warner,4693,3290,142.64437689969606
S Dhawan,4579,3658,125.17769272826682
CH Gayle,4492,2966,151.4497639919083
MS Dhoni,4424,3199,138.29321663019692
RV Uthappa,4409,3366,130.9863339275104
AB de Villiers,4390,2902,151.2749827705031
G Gambhir,4200,3394,123.74779021803181
AM Rahane,3826,3129,122.27548737615852
KD Karthik,3657,2809,130.18867924528303
SR Watson,3573,2555,139.84344422700588
AT Rayudu,3305,2609,126.67688769643541
YK Pathan,3216,2233,144.02149574563367
BB McCullum,2860,2176,131.43382352941177
PA Patel,2858,2350,121.61702127659575
MK Pandey,2843,2350,120.97872340425533
KA Pollard,2744,1869,146.81647940074907
Yuvraj Singh,2743,2115,129.69267139479905
V Sehwag,2713,1740,155.91954022988506
M Vijay,2589,2104,123.0513307984791
SE Marsh,2473,1866,132.529474812433
JH Kallis,2419,2213,109.30863081789425
DR Smith,2379,1755,135.55555555555557
SR Tendulkar,2330,1940,120.10309278350515
SV Samson,2217,1692,131.02836879432624
R Dravid,2173,1878,115.70820021299255
AC Gilchrist,2046,1483,137.96358732299393
JP Duminy,2028,1631,124.34089515634581
SPD Smith,2010,1561,128.7636130685458
KL Rahul,1989,1427,139.3833216538192
MEK Hussey,1976,1610,122.73291925465838
RA Jadeja,1930,1561,123.6386931454196
F du Plessis,1861,1460,127.46575342465754
DA Miller,1846,1329,138.90142964635064
DPMD Jayawardene,1806,1462,123.52941176470588
WP Saha,1768,1345,131.44981412639405
RR Pant,1759,1068,164.70037453183522
AJ Finch,1739,1326,131.14630467571644
SS Iyer,1690,1321,127.9333838001514
MK Tiwary,1686,1444,116.75900277008311
KC Sangakkara,1680,1385,121.29963898916967
NV Ojha,1544,1308,118.04281345565751
Mandeep Singh,1537,1225,125.46938775510203
DJ Bravo,1479,1148,128.83275261324042
Q de Kock,1475,1107,133.24299909665766
KK Nair,1460,1137,128.40809146877749
S Badrinath,1438,1208,119.03973509933775
JC Buttler,1405,919,152.88356909684438
AD Russell,1404,749,187.44993324432576
BJ Hodge,1399,1112,125.80935251798562
GJ Maxwell,1397,864,161.6898148148148
SC Ganguly,1343,1257,106.84168655529038
DJ Hussey,1316,1070,122.99065420560748
KS Williamson,1305,961,135.79604578563996
CA Lynn,1279,907,141.0143329658214
SS Tiwary,1271,1058,120.13232514177695
MA Agarwal,1265,983,128.68769074262462
IK Pathan,1149,947,121.33051742344246
TM Dilshan,1138,1001,113.68631368631368
ML Hayden,1096,799,137.17146433041302
N Rana,1089,804,135.44776119402985
HH Pandya,1081,688,157.12209302325581
LMP Simmons,1079,848,127.24056603773586
KM Jadhav,1067,842,126.72209026128264
M Vohra,1013,767,132.07301173402868
LRPL Taylor,1010,818,123.4718826405868
KP Pietersen,1000,742,134.77088948787062
AS Yadav,1000,747,133.86880856760374
Y Venugopal Rao,980,832,117.78846153846155
A Symonds,973,745,130.60402684563758
JA Morkel,967,683,141.58125915080527
MC Henriques,965,753,128.15405046480743
CL White,962,757,127.08058124174373
KH Pandya,898,610,147.21311475409834
HH Gibbs,886,805,110.06211180124224
STR Binny,879,682,128.88563049853371
EJG Morgan,854,705,121.13475177304964
Harbhajan Singh,822,595,138.15126050420167
AR Patel,799,629,127.02702702702702
MS Bisla,794,700,113.42857142857143
SP Narine,782,457,171.1159737417943
ST Jayasuriya,760,529,143.66729678638941
RA Tripathi,754,550,137.0909090909091
Shakib Al Hasan,741,587,126.2350936967632
GC Smith,731,664,110.09036144578313
AD Mathews,722,573,126.00349040139616
Ishan Kishan,701,530,132.26415094339623
TL Suman,676,573,117.97556719022688
AM Nayar,664,573,115.88132635253055
GJ Bailey,660,541,121.99630314232901
BA Stokes,637,478,133.26359832635984
P Shaw,603,423,142.5531914893617
SA Yadav,602,461,130.58568329718003
JD Ryder,596,455,130.98901098901098
PP Chawla,583,522,111.68582375478928
HM Amla,575,406,141.6256157635468
V Shankar,561,415,135.18072289156626
CJ Anderson,538,421,127.79097387173397
RS Bopara,531,453,117.21854304635761
JP Faulkner,524,385,136.1038961038961
DJ Hooda,520,411,126.52068126520682
M Manhas,514,470,109.36170212765957
CH Morris,513,327,156.88073394495413
S Gill,508,376,135.1063829787234
OA Shah,505,388,130.15463917525773
PC Valthaty,499,414,120.53140096618358
MP Stoinis,475,363,130.85399449035813
J Bairstow,452,281,160.85409252669038
Gurkeerat Singh,443,342,129.53216374269005
E Lewis,441,328,134.4512195121951
DT Christian,440,371,118.59838274932615
SA Asnodkar,423,337,125.51928783382789
NLTC Perera,421,306,137.58169934640523
JR Hopes,417,305,136.72131147540983
J Botha,408,358,113.96648044692736
LR Shukla,405,350,115.71428571428572
SN Khan,403,283,142.40282685512366
AL Menaria,395,354,111.5819209039548
CA Pujara,390,390,100.0
Azhar Mahmood,388,303,128.05280528052805
MV Boucher,387,307,126.05863192182409
R Ashwin,377,339,111.20943952802361
DB Ravi Teja,373,315,118.41269841269842
S Sohal,368,289,127.33564013840831
P Negi,365,288,126.73611111111111
A Mishra,365,387,94.31524547803618
R Bhatia,342,284,120.4225352112676
AP Tare,339,272,124.63235294117648
P Kumar,338,312,108.33333333333333
SW Billings,337,248,135.88709677419354
JEC Franklin,327,300,109.00000000000001
RN ten Doeschate,326,235,138.72340425531914
KV Sharma,317,274,115.69343065693431
R Vinay Kumar,310,274,113.13868613138686
M Ali,307,179,171.50837988826814
DB Das,304,260,116.92307692307693
LA Pomersbach,301,243,123.86831275720165
UBT Chand,300,299,100.33444816053512
C de Grandhomme,299,224,133.48214285714286
SP Goswami,296,289,102.42214532871972
DJG Sammy,295,241,122.40663900414938
Y Nagar,285,259,110.03861003861005
A Ashish Reddy,280,193,145.0777202072539
B Chipli,280,250,112.00000000000001
MJ Lumb,278,191,145.5497382198953
GH Vihari,277,311,89.06752411575563
VVS Laxman,276,266,103.7593984962406
R Sathish,269,230,116.95652173913042
MJ Guptill,265,196,135.20408163265304
M Kaif,259,249,104.01606425702812
SM Katich,240,185,129.72972972972974
BCJ Cutting,239,141,169.50354609929076
MD Mishra,235,206,114.07766990291262
MR Marsh,225,196,114.79591836734696
K Goel,218,231,94.37229437229438
AA Jhunjhunwala,217,209,103.82775119617224
TM Head,204,147,138.77551020408163
PD Collingwood,203,156,130.12820512820514
SK Warne,197,213,92.48826291079813
AS Raut,194,167,116.1676646706587
BJ Rohrer,193,141,136.8794326241135
Salman Butt,192,160,120.0
SP Fleming,192,162,118.5185185185185
YV Takawale,191,177,107.909604519774
B Kumar,188,192,97.91666666666666
Bipul Sharma,187,123,152.03252032520325
C Ingram,184,154,119.48051948051948
JJ Roy,183,135,135.55555555555557
FY Fazal,183,172,106.3953488372093
AC Voges,181,143,126.57342657342659
CR Brathwaite,180,110,163.63636363636365
C Munro,178,141,126.24113475177306
MF Maharoof,177,123,143.90243902439025
AB Agarkar,177,151,117.21854304635761
N Pooran,174,107,162.61682242990653
CM Gautam,169,149,113.42281879194631
DH Yagnik,168,133,126.3157894736842
DW Steyn,166,158,105.0632911392405
MG Johnson,166,163,101.840490797546
PA Reddy,164,160,102.49999999999999
MN van Wyk,163,131,124.42748091603053
R Parag,161,126,127.77777777777777
Ankit Sharma,161,109,147.70642201834863
MN Samuels,161,172,93.6046511627907
R McLaren,159,171,92.98245614035088
RE van der Merwe,159,141,112.7659574468085
R Dhawan,153,135,113.33333333333333
A Hales,148,117,126.49572649572649
SM Pollock,147,111,132.43243243243242
S Vidyut,145,109,133.0275229357798
K Gowtham,145,83,174.6987951807229
N Saini,143,144,99.30555555555556
Mohammad Nabi,136,91,149.45054945054946
Sachin Baby,136,99,137.37373737373736
S Anirudha,136,112,121.42857142857142
SB Styris,131,132,99.24242424242425
W Jaffer,130,121,107.43801652892562
S Gopal,129,118,109.32203389830508
UT Khawaja,127,99,128.2828282828283
P Dogra,127,138,92.02898550724638
D Wiese,126,89,141.57303370786516
BB Samantray,125,113,110.61946902654867
MC Juneja,125,128,97.65625
UT Yadav,125,126,99.20634920634922
B Lee,124,96,129.16666666666669
Kamran Akmal,124,77,161.03896103896105
AB McDonald,123,100,123.0
MM Sharma,123,117,105.12820512820514
M Morkel,122,89,137.07865168539325
DL Vettori,121,112,108.03571428571428
Niraj Patel,121,119,101.68067226890756
AC Blizzard,120,90,133.33333333333331
Misbah-ul-Haq,117,81,144.44444444444443
D Short,116,99,117.17171717171718
RJ Harris,116,111,104.5045045045045
Z Khan,116,140,82.85714285714286
TG Southee,115,89,129.21348314606743
KK Cooper,115,67,171.6417910447761
R Tewatia,115,89,129.21348314606743
M Kartik,112,107,104.67289719626167
DJ Harris,111,101,109.9009900990099
HV Patel,107,69,155.07246376811594
JDP Oram,106,107,99.06542056074767
Rashid Khan,105,63,166.66666666666669
RJ Quiney,103,102,100.98039215686273
LJ Wright,102,59,172.8813559322034
DS Kulkarni,101,106,95.28301886792453
MS Gony,99,70,141.42857142857144
CJ Ferguson,98,117,83.76068376068376
MJ Clarke,98,94,104.25531914893618
MA Starc,96,98,97.95918367346938
S Curran,95,55,172.72727272727272
SD Chitnis,93,88,105.68181818181819
AJ Tye,92,69,133.33333333333331
DJ Jacobs,92,98,93.87755102040816
RT Ponting,91,128,71.09375
PR Shah,91,90,101.11111111111111
S Hetmyer,90,73,123.28767123287672
AD Nath,90,98,91.83673469387756
SL Malinga,88,99,88.88888888888889
Iqbal Abdulla,87,82,106.09756097560977
S Rana,87,79,110.12658227848102
AP Majumdar,87,76,114.4736842105263
MJ McClenaghan,86,69,124.63768115942028
RE Levi,83,73,113.69863013698631
S Rutherford,81,54,150.0
J Archer,81,59,137.28813559322032
Shahid Afridi,81,46,176.08695652173913
LA Carseldine,80,66,121.21212121212122
AD Mascarenhas,79,78,101.28205128205127
PJ Cummins,77,55,140.0
Washington Sundar,76,53,143.39622641509433
IR Jaggi,76,97,78.35051546391753
B Akhil,76,55,138.1818181818182
TR Birt,75,57,131.57894736842107
WPUJC Vaas,75,72,104.16666666666667
RR Sarwan,73,75,97.33333333333334
L Livingstone,72,48,150.0
M Klinger,72,75,96.0
DL Chahar,71,44,161.36363636363635
K Rabada,70,79,88.60759493670885
AA Bilakhia,69,84,82.14285714285714
RR Powar,67,64,104.6875
H Klaasen,66,56,117.85714285714286
R Sharma,66,75,88.0
R Singh,66,65,101.53846153846153
Mohammad Hafeez,64,83,77.10843373493977
WD Parnell,63,75,84.0
Anirudh Singh,63,66,95.45454545454545
CR Woakes,63,66,95.45454545454545
A Flintoff,62,53,116.98113207547169
S Aravind,59,57,103.50877192982458
WA Mota,56,75,74.66666666666667
M Rawat,55,69,79.71014492753623
JD Unadkat,55,54,101.85185185185186
I Sharma,55,61,90.1639344262295
Mohammed Shami,54,53,101.88679245283019
J Suchith,54,47,114.89361702127661
A Chopra,53,71,74.64788732394366
RR Rossouw,53,51,103.921568627451
RP Singh,52,76,68.42105263157895
NM Coulter-Nile,52,50,104.0
KB Arun Karthik,51,51,100.0
Shoaib Malik,51,46,110.86956521739131
RV Gomez,50,51,98.0392156862745
R Rampaul,50,49,102.04081632653062
SB Bangar,49,58,84.48275862068965
AG Paunikar,48,55,87.27272727272727
