bowler,Runs_Conceded,Legal_Balls,Wickets,Overs,Economy
SL Malinga,3390,2827,188,471.1666666666667,7.194906261054121
DJ Bravo,3662,2586,168,431.0,8.496519721577727
A Mishra,3804,3102,165,517.0,7.3578336557059965
Harbhajan Singh,3979,3374,161,562.3333333333334,7.075874333135744
PP Chawla,4086,3125,156,520.8333333333334,7.84512
B Kumar,3185,2612,141,435.3333333333333,7.316232771822358
R Ashwin,3337,2925,138,487.5,6.845128205128205
SP Narine,2884,2563,137,427.1666666666667,6.751463129145533
UT Yadav,3544,2486,136,414.3333333333333,8.553499597747386
R Vinay Kumar,2988,2127,127,354.5,8.428772919605077
A Nehra,2495,1908,121,318.0,7.845911949685535
Z Khan,2782,2200,119,366.6666666666667,7.587272727272727
RA Jadeja,3173,2495,116,415.8333333333333,7.630460921843687
SR Watson,2691,2029,107,338.1666666666667,7.957614588467226
DW Steyn,2395,2112,104,352.0,6.8039772727272725
YS Chahal,2366,1787,102,297.8333333333333,7.944040290990487
P Kumar,3251,2524,102,420.6666666666667,7.728209191759112
RP Singh,2338,1775,100,295.8333333333333,7.903098591549296
IK Pathan,2649,2043,99,340.5,7.779735682819383
PP Ojha,2332,1899,99,316.5,7.368088467614534
MM Sharma,2439,1730,99,288.3333333333333,8.458959537572253
JA Morkel,2359,1723,96,287.1666666666667,8.214741729541498
JJ Bumrah,2243,1740,91,290.0,7.73448275862069
DS Kulkarni,2422,1745,91,290.8333333333333,8.327793696275071
Sandeep Sharma,1930,1489,90,248.16666666666666,7.777031564808596
M Morkel,2089,1629,88,271.5,7.694290976058932
L Balaji,2028,1512,85,252.0,8.047619047619047
JD Unadkat,2218,1506,83,251.0,8.836653386454183
Imran Tahir,1632,1227,82,204.5,7.980440097799511
MM Patel,1698,1355,82,225.83333333333334,7.518819188191882
AB Dinda,2073,1516,82,252.66666666666666,8.204485488126648
R Bhatia,2020,1636,82,272.6666666666667,7.408312958435208
CH Morris,1747,1290,78,215.0,8.125581395348837
JP Faulkner,1799,1238,76,206.33333333333334,8.718901453957997
AR Patel,2139,1713,76,285.5,7.492119089316987
MJ McClenaghan,1833,1274,75,212.33333333333334,8.63265306122449
JH Kallis,2293,1742,74,290.3333333333333,7.897818599311137
SK Trivedi,1904,1506,73,251.0,7.585657370517929
I Sharma,2605,1907,73,317.8333333333333,8.196119559517566
KA Pollard,1770,1199,67,199.83333333333334,8.857381150959133
M Muralitharan,1706,1528,67,254.66666666666666,6.698952879581152
MG Johnson,1717,1235,66,205.83333333333334,8.3417004048583
Shakib Al Hasan,1660,1328,66,221.33333333333334,7.5
AD Russell,1557,1039,60,173.16666666666666,8.991337824831568
Rashid Khan,1229,1095,60,182.5,6.734246575342466
SK Warne,1447,1194,60,199.0,7.271356783919598
KV Sharma,1447,1108,59,184.66666666666666,7.835740072202166
S Kaul,1410,981,53,163.5,8.623853211009175
Mohammed Shami,1565,1032,52,172.0,9.098837209302326
SB Jakati,1451,1085,50,180.83333333333334,8.023963133640553
A Kumble,1058,965,49,160.83333333333334,6.578238341968912
S Aravind,1039,760,48,126.66666666666667,8.202631578947368
S Nadeem,1574,1259,47,209.83333333333334,7.501191421763304
HV Patel,1232,836,47,139.33333333333334,8.842105263157896
RJ Harris,1047,832,47,138.66666666666666,7.550480769230769
YK Pathan,1415,1147,46,191.16666666666666,7.401918047079337
Iqbal Abdulla,1109,920,45,153.33333333333334,7.232608695652174
HH Pandya,1358,869,45,144.83333333333334,9.376294591484465
VR Aaron,1349,916,44,152.66666666666666,8.836244541484715
AJ Tye,855,594,43,99.0,8.636363636363637
S Sreesanth,1194,880,43,146.66666666666666,8.14090909090909
P Awana,1029,747,43,124.5,8.265060240963855
DE Bollinger,693,576,43,96.0,7.21875
R Sharma,1086,928,42,154.66666666666666,7.021551724137931
MC Henriques,1244,890,42,148.33333333333334,8.386516853932584
KH Pandya,1144,945,42,157.5,7.2634920634920634
Kuldeep Yadav,1161,824,42,137.33333333333334,8.45388349514563
PJ Sangwan,1175,801,41,133.5,8.801498127340825
TA Boult,1149,765,41,127.5,9.011764705882353
SN Thakur,1096,707,40,117.83333333333333,9.301272984441301
Yuvraj Singh,1078,869,39,144.83333333333334,7.443037974683544
NM Coulter-Nile,719,563,39,93.83333333333333,7.662522202486678
MS Gony,1287,888,39,148.0,8.695945945945946
S Gopal,746,589,39,98.16666666666667,7.599320882852292
MA Starc,693,580,39,96.66666666666667,7.1689655172413795
M Kartik,1388,1149,39,191.5,7.248041775456919
DP Nannes,785,646,38,107.66666666666667,7.291021671826625
P Negi,943,716,38,119.33333333333333,7.902234636871508
NLTC Perera,1016,698,37,116.33333333333333,8.73352435530086
KK Cooper,757,576,36,96.0,7.885416666666667
K Rabada,582,415,36,69.16666666666667,8.4144578313253
DT Christian,1042,783,36,130.5,7.984674329501916
TG Southee,1317,888,34,148.0,8.89864864864865
DL Vettori,878,777,34,129.5,6.77992277992278
A Singh,742,533,34,88.83333333333333,8.352720450281426
AB Agarkar,1151,782,33,130.33333333333334,8.831202046035806
DL Chahar,914,688,33,114.66666666666667,7.97093023255814
MF Maharoof,520,420,33,70.0,7.428571428571429
WD Parnell,701,572,31,95.33333333333333,7.353146853146853
Azhar Mahmood,700,537,31,89.5,7.82122905027933
Harmeet Singh,697,525,30,87.5,7.965714285714285
B Lee,1095,875,30,145.83333333333334,7.508571428571429
Mohammed Siraj,891,553,30,92.16666666666667,9.667269439421338
SK Raina,1118,908,30,151.33333333333334,7.387665198237886
BA Stokes,841,587,29,97.83333333333333,8.59625212947189
STR Binny,761,594,28,99.0,7.686868686868687
AD Mathews,1079,791,28,131.83333333333334,8.184576485461442
Mustafizur Rahman,689,547,28,91.16666666666667,7.557586837294333
PV Tambe,853,660,28,110.0,7.754545454545455
J Archer,656,492,27,82.0,8.0
J Botha,800,694,27,115.66666666666667,6.916426512968299
DR Smith,810,539,27,89.83333333333333,9.01669758812616
SW Tait,640,473,26,78.83333333333333,8.118393234672304
CR Woakes,590,374,26,62.333333333333336,9.46524064171123
GB Hogg,570,458,25,76.33333333333333,7.467248908296943
RE van der Merwe,498,443,25,73.83333333333333,6.744920993227991
Sohail Tanvir,266,247,24,41.166666666666664,6.461538461538462
A Symonds,674,527,23,87.83333333333333,7.673624288425048
JP Duminy,834,678,23,113.0,7.380530973451328
BW Hilfenhaus,479,372,23,62.0,7.725806451612903
AS Rajpoot,642,427,22,71.16666666666667,9.021077283372366
VY Mahesh,499,339,22,56.5,8.831858407079647
Bipul Sharma,572,426,22,71.0,8.056338028169014
WPUJC Vaas,355,282,22,47.0,7.553191489361702
Anureet Singh,623,412,21,68.66666666666667,9.072815533980583
K Ahmed,345,227,20,37.833333333333336,9.118942731277533
MR Marsh,414,315,20,52.5,7.885714285714286
R Dhawan,640,488,20,81.33333333333333,7.868852459016393
Basil Thampi,656,401,20,66.83333333333333,9.815461346633416
KW Richardson,444,317,20,52.833333333333336,8.40378548895899
BB Sran,776,483,20,80.5,9.639751552795031
A Ashish Reddy,396,262,19,43.666666666666664,9.068702290076336
A Zampa,278,221,19,36.833333333333336,7.547511312217194
PJ Cummins,499,361,19,60.166666666666664,8.293628808864266
CRD Fernando,298,234,19,39.0,7.641025641025641
IC Pandey,591,462,19,77.0,7.675324675324675
CH Gayle,724,549,19,91.5,7.912568306010929
AD Mascarenhas,356,308,19,51.333333333333336,6.935064935064935
M Ur Rahman,508,362,18,60.333333333333336,8.41988950276243
BJ Hodge,303,234,18,39.0,7.769230769230769
GJ Maxwell,613,420,17,70.0,8.757142857142858
Washington Sundar,460,354,17,59.0,7.796610169491525
LR Shukla,447,314,17,52.333333333333336,8.54140127388535
R Rampaul,309,268,17,44.666666666666664,6.917910447761194
D Wiese,402,278,17,46.333333333333336,8.676258992805755
M Markande,440,300,16,50.0,8.8
MP Stoinis,575,367,16,61.166666666666664,9.400544959128066
VRV Singh,542,360,16,60.0,9.033333333333333
CR Brathwaite,387,254,16,42.333333333333336,9.141732283464567
RG Sharma,440,332,16,55.333333333333336,7.951807228915663
R Tewatia,358,296,16,49.333333333333336,7.256756756756757
ST Jayasuriya,390,294,16,49.0,7.959183673469388
AC Thomas,406,315,16,52.5,7.733333333333333
P Krishna,677,415,16,69.16666666666667,9.787951807228916
SJ Srivastava,441,282,15,47.0,9.382978723404255
YA Abdulla,307,209,15,34.833333333333336,8.813397129186603
M Ashwin,563,417,15,69.5,8.100719424460431
AN Ahmed,498,344,15,57.333333333333336,8.686046511627907
RD Chahar,373,324,15,54.0,6.907407407407407
RR Powar,527,426,15,71.0,7.422535211267606
R McLaren,542,354,14,59.0,9.186440677966102
GD McGrath,357,324,14,54.0,6.611111111111111
AB McDonald,261,186,14,31.0,8.419354838709678
DJG Sammy,350,236,14,39.333333333333336,8.898305084745763
S Lamichhane,298,210,14,35.0,8.514285714285714
Umar Gul,184,135,14,22.5,8.177777777777777
Karanveer Singh,321,204,14,34.0,9.441176470588236
CJ Anderson,525,297,14,49.5,10.606060606060606
JR Hopes,548,360,14,60.0,9.133333333333333
CJ Jordan,303,198,14,33.0,9.181818181818182
Kamran Khan,239,166,14,27.666666666666668,8.63855421686747
SM Pollock,301,276,13,46.0,6.543478260869565
S Sharma,364,256,13,42.666666666666664,8.53125
L Ngidi,169,156,13,26.0,6.5
CK Langeveldt,187,156,13,26.0,7.1923076923076925
Joginder Sharma,419,256,13,42.666666666666664,9.8203125
JDP Oram,349,237,13,39.5,8.835443037974683
BA Bhatt,397,296,13,49.333333333333336,8.047297297297296
J Theron,302,221,13,36.833333333333336,8.199095022624434
RS Bopara,292,206,13,34.333333333333336,8.504854368932039
Ankit Sharma,472,379,13,63.166666666666664,7.472295514511873
M Ali,270,229,13,38.166666666666664,7.074235807860262
AG Murtaza,313,264,12,44.0,7.113636363636363
SC Ganguly,363,276,12,46.0,7.891304347826087
BCJ Cutting,433,281,12,46.833333333333336,9.245551601423488
N Saini,421,288,12,48.0,8.770833333333334
J Suchith,396,270,12,45.0,8.8
K Gowtham,497,361,12,60.166666666666664,8.260387811634349
V Pratap Singh,296,204,12,34.0,8.705882352941176
A Chandila,242,234,11,39.0,6.205128205128205
KP Appanna,286,216,11,36.0,7.944444444444445
BE Hendricks,235,150,11,25.0,9.4
Mohammad Nabi,306,271,11,45.166666666666664,6.7749077490774905
JD Ryder,303,236,11,39.333333333333336,7.703389830508475
Pankaj Singh,468,300,11,50.0,9.36
S Badree,319,258,11,43.0,7.4186046511627906
S Curran,334,198,11,33.0,10.121212121212121
MN Samuels,284,214,10,35.666666666666664,7.962616822429907
T Thushara,161,135,10,22.5,7.155555555555556
DJ Hussey,474,317,10,52.833333333333336,8.97160883280757
B Laughlin,291,168,10,28.0,10.392857142857142
J Syed Mohammad,283,192,10,32.0,8.84375
Anand Rajan,201,149,10,24.833333333333332,8.093959731543624
Mohammad Asif,296,192,9,32.0,9.25
K Paul,259,164,9,27.333333333333332,9.475609756097562
KP Pietersen,215,174,9,29.0,7.413793103448276
AM Nayar,322,229,9,38.166666666666664,8.436681222707424
SB Styris,276,216,9,36.0,7.666666666666667
I Sodhi,205,181,9,30.166666666666668,6.795580110497237
P Parameswaran,224,154,9,25.666666666666668,8.727272727272727
JEC Franklin,220,151,9,25.166666666666668,8.741721854304636
BAW Mendis,303,244,9,40.666666666666664,7.450819672131147
SE Bond,224,186,9,31.0,7.225806451612903
SMSM Senanayake,209,192,9,32.0,6.53125
Shahid Afridi,225,180,9,30.0,7.5
M Ntini,242,210,8,35.0,6.914285714285715
KC Cariappa,349,216,8,36.0,9.694444444444445
AA Chavan,326,248,8,41.333333333333336,7.887096774193548
S Randiv,223,174,8,29.0,7.689655172413793
H Viljoen,241,138,8,23.0,10.478260869565217
JO Holder,306,216,8,36.0,8.5
A Mithun,472,288,8,48.0,9.833333333333334
N Rana,123,91,7,15.166666666666666,8.10989010989011
PC Valthaty,205,151,7,25.166666666666668,8.14569536423841
RR Raje,209,139,7,23.166666666666668,9.02158273381295
AM Salvi,200,150,7,25.0,8.0
B Stanlake,204,144,7,24.0,8.5
C de Grandhomme,334,216,7,36.0,9.277777777777779
TL Suman,197,150,7,25.0,7.88
S Mavi,285,168,7,28.0,10.178571428571429
H Gurney,246,162,7,27.0,9.11111111111111
P Amarnath,236,132,7,22.0,10.727272727272727
B Akhil,242,188,7,31.333333333333332,7.723404255319149
Y Venugopal Rao,337,216,7,36.0,9.36111111111111
R Shukla,208,120,7,20.0,10.4
SB Bangar,219,150,6,25.0,8.76
FH Edwards,154,140,6,23.333333333333332,6.6
DJ Hooda,315,224,6,37.333333333333336,8.4375
S Kaushik,297,204,6,34.0,8.735294117647058
A Joseph,92,52,6,8.666666666666666,10.615384615384615
R Sathish,232,139,6,23.166666666666668,10.014388489208633
RV Gomez,129,96,6,16.0,8.0625
S Tyagi,295,209,6,34.833333333333336,8.4688995215311
T Curran,121,61,6,10.166666666666666,11.901639344262295
S Narwal,202,106,6,17.666666666666668,11.433962264150944
V Sehwag,235,136,6,22.666666666666668,10.367647058823529
VS Malik,261,205,6,34.166666666666664,7.639024390243902
JE Taylor,157,117,6,19.5,8.051282051282051
KMDN Kulasekara,120,102,6,17.0,7.0588235294117645
