team,Matches_Played,Wins,Win_Percentage
Chennai Super Kings,164,100,60.97560975609756
Mumbai Indians,187,109,58.288770053475936
Sunrisers Hyderabad,108,58,53.70370370370371
Kolkata Knight Riders,178,92,51.68539325842697
Rajasthan Royals,147,75,51.02040816326531
Rising Pune Supergiant,30,15,50.0
Royal Challengers Bangalore,180,84,46.666666666666664
Kings XI Punjab,176,82,46.590909090909086
Delhi Capitals,177,77,43.50282485875706
Gujarat Lions,30,13,43.333333333333336
Kochi Tuskers Kerala,14,6,42.857142857142854
Deccan Chargers,75,29,38.666666666666664
Pune Warriors,46,12,26.08695652173913
